male,months,p10
1,0,48.20730829
1,0.999999996,52.23281996
1,2.000000004,55.86430022
1,3,58.81241437
1,3.999999996,61.22261821
1,5.000000004,63.19985529
1,6,64.88403272
1,6.999999996,66.38552572
1,8.000000004,67.77632767
1,9,69.09732159
1,9.999999996,70.356518
1,11,71.557248
1,12,72.70721298
1,13,73.81330382
1,14,74.87875923
1,15,75.90702723
1,16,76.90325765
1,17,77.86875408
1,18,78.80620365
1,19,79.71501142
1,20,80.59774319
1,21,81.45588691
1,22,82.29188999
1,23,83.10724966
1,24,83.55545568
1,25,83.98356065
1,26,84.74157784
1,27,85.4785529
1,28,86.19720955
1,29,86.89472823
1,30,87.57406037
1,31,88.23543469
1,32,88.88013836
1,33,89.51113513
1,34,90.12985026
1,35,90.7382249
1,36,91.33866617
1,37,91.93075571
1,38,92.51394499
1,39,93.09094021
1,40,93.66062884
1,41,94.22294591
1,42,94.77616808
1,43,95.32353717
1,44,95.86169856
1,45,96.39491619
1,46,96.92045274
1,47,97.4418688
1,48,97.59630593
1,49,97.75562547
1,50,98.28985446
1,51,98.82390528
1,52,99.35777792
1,53,99.91177984
1,54,100.4669696
1,55,101.0206413
1,56,101.5863638
1,57,102.1424714
1,58,102.6998285
1,59,103.2570627
1,60,103.7952315
1,61,104.3266314
1,62,104.8565265
1,63,105.3702308
1,64,105.863497
1,65,106.3675872
1,66,106.8526746
1,67,107.3282291
1,68,107.8146419
1,69,108.2915363
1,70,108.7683784
1,71,109.2451683
1,72,109.7124422
1,73,110.1906186
1,74,110.6577961
1,75,111.1264256
1,76,111.5950167
1,77,112.0541078
1,78,112.5226225
1,79,112.9816379
1,80,113.4390808
1,81,113.9074747
1,82,114.364823
1,83,114.8315802
1,84,115.2982861
1,85,115.7633741
1,86,116.2299712
1,87,116.6949376
1,88,117.1614259
1,89,117.6262707
1,90,118.0910515
1,91,118.5573734
1,92,119.0141903
1,93,119.4787926
1,94,119.9260497
1,95,120.3827098
1,96,120.8393197
1,97,121.2847857
1,98,121.7223885
1,99,122.1599432
1,100,122.5957891
1,101,123.0126774
1,102,123.4295081
1,103,123.8446033
1,104,124.2596293
1,105,124.6556947
1,106,125.0594442
1,107,125.4536709
1,108,125.8572636
1,109,126.2496238
1,110,126.6418959
1,111,127.0323575
1,112,127.4150092
1,113,127.8035459
1,114,128.1842749
1,115,128.5631631
1,116,128.9419438
1,117,129.320617
1,118,129.7068535
1,119,130.0912031
1,120,130.4754205
1,121,130.8595059
1,122,131.2511017
1,123,131.6331278
1,124,132.0132173
1,125,132.383733
1,126,132.7540982
1,127,133.1148968
1,128,133.4737336
1,129,133.8230008
1,130,134.1721144
1,131,134.5192443
1,132,134.8586392
1,133,135.2054486
1,134,135.5426918
1,135,135.8779251
1,136,136.2223866
1,137,136.5572782
1,138,136.9107872
1,139,137.2641178
1,140,137.6229066
1,141,138.002146
1,142,138.3811827
1,143,138.7675054
1,144,139.1536092
1,145,139.5563432
1,146,139.970122
1,147,140.4024114
1,148,140.8325336
1,149,141.2830643
1,150,141.7333421
1,151,142.2020913
1,152,142.6818888
1,153,143.1707904
1,154,143.6781445
1,155,144.1985311
1,156,144.7300082
1,157,145.2706043
1,158,145.826304
1,159,146.3911596
1,160,146.9712055
1,161,147.5551465
1,162,148.1410022
1,163,148.7422157
1,164,149.3381284
1,165,149.9308439
1,166,150.5391218
1,167,151.1402074
1,168,151.7403571
1,169,152.3354904
1,170,152.9370926
1,171,153.5265306
1,172,154.111104
1,173,154.7002068
1,174,155.2679265
1,175,155.8402588
1,176,156.3985111
1,177,156.9499295
1,178,157.4894474
1,179,158.0200081
1,180,158.5365396
1,181,159.0441037
1,182,159.5354675
1,183,160.0106204
1,184,160.4767684
1,185,160.9223002
1,186,161.3493674
1,187,161.7673591
1,188,162.1762614
1,189,162.5716449
1,190,162.9390348
1,191,163.3044787
1,192,163.6490885
1,193,163.9728284
1,194,164.2945563
1,195,164.5931328
1,196,164.8802028
1,197,165.1485256
1,198,165.4102858
1,199,165.6532559
1,200,165.88464
1,201,166.1021764
1,202,166.3175617
1,203,166.5140924
1,204,166.6967255
1,205,166.877174
1,206,167.0459523
1,207,167.1958239
1,208,167.3412275
1,209,167.4844141
